methane,hydrogen,humidity,temperature,sensor,time
134,141,45,22,2,13:13:32
98,104,46,22,2,13:13:37
94,102,46,22,2,13:13:43
91,98,46,22,2,13:13:48
98,106,48,22,2,13:21:47
102,110,48,22,2,13:21:53
101,109,48,22,2,13:21:58
100,108,48,22,2,13:21:59
99,107,48,22,2,13:22:04
102,109,48,22,2,13:22:10
102,110,48,22,2,13:22:15
101,109,48,22,2,13:22:21
101,108,48,22,2,13:22:26
101,109,48,22,2,13:22:32
101,108,48,22,2,13:22:37
101,108,48,22,2,13:22:43
100,108,48,22,2,13:22:48
101,109,48,22,2,13:22:54
100,108,48,22,2,13:22:59
99,107,48,22,2,13:23:05
101,108,48,22,2,13:23:15
101,108,48,22,2,13:23:16
101,108,48,22,2,13:23:21
101,108,48,22,2,13:23:27
100,108,48,22,2,13:23:32
101,108,48,22,2,13:23:42
101,108,48,22,2,13:23:43
101,108,48,22,2,13:23:49
101,107,48,22,2,13:23:55
101,108,48,22,2,13:24:00
101,107,48,22,2,13:24:06
101,108,48,22,2,13:24:11
102,109,48,22,2,13:24:17
103,109,48,22,2,13:24:22
103,110,48,22,2,13:24:28
104,111,48,22,2,13:24:33
104,111,48,22,2,13:24:39
101,108,48,22,2,13:24:44
100,108,48,22,2,13:24:50
101,108,48,22,2,13:24:55
102,109,48,22,2,13:25:01
101,108,48,22,2,13:25:06
100,108,48,22,2,13:25:12
101,108,48,22,2,13:25:17
101,108,48,22,2,13:25:23
100,107,48,22,2,13:25:28
99,106,48,22,2,13:25:34
100,107,48,22,2,13:25:39
100,107,48,22,2,13:25:45
100,107,48,22,2,13:25:50
100,107,48,22,2,13:25:56
96,107,48,22,2,13:26:01
100,107,48,22,2,13:26:07
100,107,48,22,2,13:26:12
100,107,48,22,2,13:26:18
100,106,48,22,2,13:26:29
100,107,48,22,2,13:26:34
4128,28672,48,22,2,13:26:39
108,115,48,23,2,13:29:20
106,113,48,23,2,13:29:25
108,115,48,23,2,13:29:31
102,110,48,23,2,13:29:36
103,110,48,23,2,13:29:42
103,110,48,23,2,13:29:47
105,112,48,23,2,13:29:53
114,121,48,23,2,13:29:58
113,119,48,23,2,13:30:04
106,113,48,23,2,13:30:09
111,118,48,23,2,13:30:15
107,114,48,23,2,13:30:20
107,114,48,23,2,13:30:26
108,115,48,23,2,13:30:31
106,113,48,23,2,13:30:37
103,110,48,23,2,13:30:42
103,110,48,23,2,13:30:48
105,112,48,23,2,13:30:53
107,115,48,23,2,13:30:59
107,114,48,23,2,13:31:05
107,114,48,23,2,13:31:10
106,113,48,23,2,13:31:16
105,112,48,23,2,13:31:21
106,113,48,23,2,13:31:27
106,113,48,23,2,13:31:32
105,112,48,23,2,13:31:38
108,115,48,23,2,13:31:43
108,114,48,23,2,13:31:49
109,116,48,23,2,13:31:54
106,112,48,23,2,13:32:00
106,113,48,23,2,13:32:05
105,112,48,23,2,13:32:11
103,110,48,23,2,13:32:16
101,108,48,23,2,13:32:22
101,108,48,23,2,13:32:27
101,108,48,23,2,13:32:33
102,109,48,23,2,13:32:44
102,109,48,23,2,13:32:49
101,109,48,23,2,13:32:55
101,108,48,0,2,13:33:00
101,108,48,23,2,13:33:06
101,108,48,23,2,13:33:11
100,108,48,23,2,13:33:17
100,108,48,23,2,13:33:22
100,108,48,23,2,13:33:28
100,107,48,23,2,13:33:33
100,107,48,23,2,13:33:39
100,107,48,23,2,13:33:44
101,108,48,23,2,13:33:50
100,107,48,23,2,13:33:55
101,108,48,23,2,13:34:01
100,107,48,23,2,13:34:09
100,107,48,23,2,13:34:15
100,107,48,23,2,13:34:20
100,107,48,23,2,13:34:26
100,108,48,23,2,13:34:31
101,108,48,23,2,13:34:37
101,109,48,23,2,13:34:47
102,109,48,23,2,13:34:53
102,109,48,23,2,13:34:59
105,112,48,23,2,13:35:04
83,90,44,22,2,13:42:05
82,89,44,22,2,13:42:05
86,88,44,22,2,13:42:11
89,87,44,22,2,13:42:16
94,87,44,22,2,13:42:22
99,87,44,22,2,13:42:27
97,88,44,22,2,13:42:38
102,88,44,22,2,13:42:44
99,88,44,22,2,13:42:49
99,89,44,22,2,13:42:55
96,89,44,22,2,13:43:00
96,89,44,22,2,13:43:06
93,89,44,22,2,13:43:11
87,89,44,22,2,13:43:17
86,89,44,22,2,13:43:22
80,88,44,22,2,13:43:28
82,89,44,22,2,13:43:33
81,88,44,22,2,13:43:39
81,88,44,22,2,13:43:44
81,88,44,22,2,13:43:50
80,88,44,22,2,13:43:55
81,88,44,22,2,13:44:01
80,88,44,22,2,13:44:07
80,88,43,23,2,13:44:12
80,88,43,23,2,13:44:18
81,88,43,23,2,13:44:23
81,88,43,23,2,13:44:29
81,88,43,23,2,13:44:34
81,88,43,23,2,13:44:40
81,88,43,23,2,13:44:45
81,88,43,23,2,13:44:51
82,88,43,2,2,13:44:56
82,88,43,0,2,13:45:02
83,88,43,23,2,13:45:07
83,88,43,23,2,13:45:13
83,88,43,23,2,13:45:18
85,88,43,23,2,13:45:24
84,80,43,23,2,13:45:29
85,88,43,23,2,13:45:35
86,88,43,23,2,13:45:40
86,88,43,23,2,13:45:46
87,89,43,23,2,13:45:51
88,89,43,23,2,13:45:57
88,89,43,23,2,13:46:02
87,89,43,23,2,13:46:08
87,89,43,23,2,13:46:13
86,89,43,23,2,13:46:19
87,89,43,23,2,13:46:24
86,89,43,23,2,13:46:30
86,89,43,23,2,13:46:35
86,89,43,23,2,13:46:41
87,89,43,23,2,13:46:46
87,89,43,23,2,13:46:52
87,89,43,23,2,13:46:57
87,89,43,23,2,13:47:03
87,89,43,23,2,13:47:08
87,90,43,23,2,13:47:19
87,90,43,23,2,13:47:25
87,90,43,23,2,13:47:31
87,90,43,23,2,13:47:36
88,90,43,23,2,13:47:42
88,90,43,23,2,13:47:47
89,90,43,23,2,13:47:53
90,90,43,23,2,13:47:58
89,90,43,23,2,13:48:04
89,90,43,23,2,13:48:09
90,90,43,23,2,13:48:15
90,90,43,23,2,13:48:20
90,91,43,23,2,13:48:26
90,91,43,23,2,13:48:31
91,91,43,23,2,13:48:37
92,91,43,23,2,13:48:42
93,91,43,23,2,13:48:48
93,91,43,23,2,13:48:53
94,91,43,5,2,13:48:59
94,91,43,23,2,13:49:08
94,91,43,23,2,13:49:10
94,91,43,23,2,13:49:15
95,91,43,23,2,13:49:48
95,92,43,23,2,13:49:54
95,92,43,23,2,13:49:59
95,92,43,5,2,13:50:10
97,94,43,24,2,13:53:40
100,94,43,24,2,13:53:51
101,94,43,24,2,13:53:56
101,94,43,24,2,13:54:02
100,94,0,0,2,13:54:07
99,94,43,24,2,13:54:13
99,94,43,24,2,13:54:18
99,95,43,24,2,13:54:24
99,95,43,24,2,13:54:30
99,95,43,24,2,13:54:35
99,95,43,24,2,13:54:41
99,95,43,24,2,13:54:46
99,95,43,24,2,13:54:52
99,95,43,24,2,13:54:57
99,95,43,24,2,13:55:03
100,95,43,24,2,13:55:08
100,95,43,24,2,13:55:14
100,95,43,24,2,13:55:19
100,95,42,24,2,13:55:25
100,95,42,24,2,13:55:30
100,95,42,24,2,13:55:36
100,95,42,24,2,13:55:41
100,95,42,24,2,13:55:47
100,95,42,24,2,13:55:52
100,95,42,24,2,13:55:58
100,95,42,24,2,13:56:03
100,95,34,24,2,13:56:09
100,95,42,24,2,13:56:14
101,95,42,24,2,13:56:20
100,95,42,24,2,13:56:25
100,95,42,24,2,13:56:31
101,95,42,24,2,13:56:36
100,96,42,24,2,13:56:42
0,0,32,8,2,13:56:47
100,96,42,24,2,13:57:04
100,96,42,24,2,13:57:09
100,96,42,24,2,13:57:15
100,96,42,24,2,13:57:20
100,97,42,24,2,13:57:26
100,97,42,24,2,13:57:31
100,97,42,24,2,13:57:37
101,97,42,24,2,13:57:42
101,97,42,24,2,13:57:48
101,97,42,24,2,13:57:53
101,97,42,24,2,13:57:59
101,97,42,24,2,13:58:05
101,97,42,24,2,13:58:16
101,97,42,24,2,13:58:27
102,97,42,24,2,13:58:32
102,97,42,24,2,13:58:38
103,97,42,24,2,13:58:49
103,97,42,24,2,13:58:54
103,98,42,24,2,13:59:00
103,98,43,24,2,13:59:05
103,98,43,24,2,13:59:11
103,98,43,24,2,13:59:16
104,98,43,24,2,13:59:22
104,98,43,24,2,13:59:27
105,98,43,24,2,13:59:33
106,98,43,24,2,13:59:38
107,98,43,24,2,13:59:44
121,98,43,24,2,13:59:49
119,98,43,24,2,13:59:55
117,98,43,24,2,14:00:00
117,99,43,24,2,14:00:06
114,98,43,24,2,14:00:11
117,98,43,24,2,14:00:17
117,98,43,24,2,14:00:22
118,99,43,24,2,14:00:28
110,99,43,24,2,14:00:33
110,99,43,24,2,14:00:39
110,99,43,24,2,14:00:44
110,99,43,24,2,14:00:50
111,99,43,24,2,14:00:55
111,99,43,24,2,14:01:01
119,99,43,24,2,14:01:06
120,99,43,24,2,14:01:12
119,99,43,24,2,14:01:17
122,99,43,24,2,14:01:23
123,99,43,24,2,14:01:29
125,99,43,24,2,14:01:34
124,99,43,24,2,14:01:40
123,100,43,24,2,14:01:45
123,100,43,24,2,14:01:51
122,100,43,24,2,14:01:56
122,100,43,24,2,14:02:02
122,100,43,24,2,14:02:07
122,100,43,24,2,14:02:13
121,100,43,24,2,14:02:18
121,100,43,24,2,14:02:24
121,100,43,24,2,14:02:29
119,101,43,24,2,14:02:35
121,101,43,24,2,14:02:40
119,101,43,24,2,14:02:46
119,101,43,24,2,14:02:51
119,101,43,24,2,14:02:57
118,101,43,24,2,14:03:02
118,102,43,24,2,14:03:08
118,102,43,24,2,14:03:13
111,102,43,24,2,14:03:19
116,102,43,24,2,14:03:24
115,103,43,24,2,14:03:30
113,103,43,24,2,14:03:35
113,104,43,24,2,14:03:41
